time	species	protein	transcript	ribo_density
0.000000	__gene_A*_rbs	0.000000	0.000000	0.000000
0.000000	__gene_A_rbs	0.000000	0.000000	0.000000
0.000000	__gene_B_rbs	0.000000	0.000000	0.000000
0.000000	__gene_C_rbs	0.000000	0.000000	0.000000
0.000000	__gene_D_rbs	0.000000	0.000000	0.000000
0.000000	__gene_E_rbs	0.000000	0.000000	0.000000
0.000000	__gene_F_rbs	0.000000	0.000000	0.000000
0.000000	__gene_G_rbs	0.000000	0.000000	0.000000
0.000000	__gene_H_rbs	0.000000	0.000000	0.000000
0.000000	__gene_J_rbs	0.000000	0.000000	0.000000
0.000000	__gene_K_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	30.000000	0.000000	0.000000
0.000000	bound_ecolipol	1800.000000	0.000000	0.000000
0.000000	bound_ribosome	10000.000000	0.000000	0.000000
0.000000	degraded_transcript	0.000000	0.000000	0.000000
0.000000	ecoli_genome	0.000000	0.000000	0.000000
0.000000	ecoli_transcript	0.000000	0.000000	0.000000
0.000000	ecolipol	0.000000	0.000000	0.000000
0.000000	promoter_A	1.000000	0.000000	0.000000
0.000000	promoter_B1	1.000000	0.000000	0.000000
0.000000	promoter_D	1.000000	0.000000	0.000000
4.999176	__gene_A*_rbs	0.000000	0.000000	0.000000
4.999176	__gene_A_rbs	0.000000	0.000000	0.000000
4.999176	__gene_B_rbs	0.000000	0.000000	0.000000
4.999176	__gene_C_rbs	0.000000	0.000000	0.000000
4.999176	__gene_D_rbs	0.000000	0.000000	0.000000
4.999176	__gene_E_rbs	0.000000	0.000000	0.000000
4.999176	__gene_F_rbs	0.000000	0.000000	0.000000
4.999176	__gene_G_rbs	0.000000	0.000000	0.000000
4.999176	__gene_H_rbs	0.000000	0.000000	0.000000
4.999176	__gene_J_rbs	0.000000	0.000000	0.000000
4.999176	__gene_K_rbs	0.000000	0.000000	0.000000
4.999176	__ribosome	416.000000	0.000000	0.000000
4.999176	bound_ecolipol	1731.000000	0.000000	0.000000
4.999176	bound_ribosome	9609.000000	0.000000	0.000000
4.999176	degraded_transcript	4.000000	0.000000	0.000000
4.999176	ecoli_genome	69.000000	0.000000	0.000000
4.999176	ecoli_transcript	724.000000	0.000000	0.000000
4.999176	ecolipol	63.000000	0.000000	0.000000
4.999176	gene_D	0.000000	2.000000	2.500000
4.999176	promoter_A	0.000000	0.000000	0.000000
4.999176	promoter_B1	0.000000	0.000000	0.000000
4.999176	promoter_D	0.000000	0.000000	0.000000
9.999329	__gene_A*_rbs	0.000000	0.000000	0.000000
9.999329	__gene_A_rbs	0.000000	0.000000	0.000000
9.999329	__gene_B_rbs	0.000000	0.000000	0.000000
9.999329	__gene_C_rbs	0.000000	0.000000	0.000000
9.999329	__gene_D_rbs	0.000000	0.000000	0.000000
9.999329	__gene_E_rbs	0.000000	0.000000	0.000000
9.999329	__gene_F_rbs	0.000000	0.000000	0.000000
9.999329	__gene_G_rbs	0.000000	0.000000	0.000000
9.999329	__gene_H_rbs	0.000000	0.000000	0.000000
9.999329	__gene_J_rbs	0.000000	0.000000	0.000000
9.999329	__gene_K_rbs	0.000000	0.000000	0.000000
9.999329	__ribosome	258.000000	0.000000	0.000000
9.999329	bound_ecolipol	1720.000000	0.000000	0.000000
9.999329	bound_ribosome	9743.000000	0.000000	0.000000
9.999329	degraded_transcript	17.000000	0.000000	0.000000
9.999329	ecoli_genome	80.000000	0.000000	0.000000
9.999329	ecoli_transcript	947.000000	0.000000	0.000000
9.999329	ecolipol	69.000000	0.000000	0.000000
9.999329	gene_D	0.000000	5.000000	5.800000
9.999329	promoter_A	1.000000	0.000000	0.000000
9.999329	promoter_B1	0.000000	0.000000	0.000000
9.999329	promoter_D	0.000000	0.000000	0.000000
14.999025	__gene_A*_rbs	0.000000	0.000000	0.000000
14.999025	__gene_A_rbs	0.000000	0.000000	0.000000
14.999025	__gene_B_rbs	0.000000	0.000000	0.000000
14.999025	__gene_C_rbs	0.000000	0.000000	0.000000
14.999025	__gene_D_rbs	3.000000	0.000000	0.000000
14.999025	__gene_E_rbs	0.000000	0.000000	0.000000
14.999025	__gene_F_rbs	0.000000	0.000000	0.000000
14.999025	__gene_G_rbs	0.000000	0.000000	0.000000
14.999025	__gene_H_rbs	0.000000	0.000000	0.000000
14.999025	__gene_J_rbs	0.000000	0.000000	0.000000
14.999025	__gene_K_rbs	0.000000	0.000000	0.000000
14.999025	__ribosome	191.000000	0.000000	0.000000
